Prestatario,Población,Ciudad,Edad,Sexo,País de Origen,Propiedades,Fuentes de reembolso,Ingresos netos,Deudas pendientes,Contrato de trabajo,Antigüedad del trabajo (meses),Número de hijos,Número de personas a cargo,Pago en fecha
Roberto Gutiérrez,Este,Granada,58,Hombre,España,1,Salario,30564,0,Temporal,423,1,0,Sí
Mohamed Ben Ali,Centro,Valencia,24,Hombre,Marruecos,0,Salario,34566,0,Fijo,64,0,0,Sí
David Torres,Centro,Granada,55,Hombre,España,2,Salario,29905,0,Temporal,407,1,1,Sí
Marta Navarro,Costa,Granada,28,Mujer,España,0,Salario,18391,0,Fijo,16,0,0,Sí
Antonio Pérez,Oeste,Granada,39,Hombre,España,1,Salario,25563,0,Fijo,169,1,0,Sí
Elena Castro,Este,Granada,76,Mujer,España,0,Pensión,17069,4925,Inactivo,0,0,1,Sí
Carlos Gutiérrez,Este,Granada,45,Hombre,España,1,Salario,21148,6211,Fijo,56,1,0,Sí
Mohamed Ben Ali,Centro,Cantabria,21,Mujer,Marruecos,2,Salario y Alquiler,32905,0,Fijo,16,0,0,Sí
Raquel Gil,Centro,Granada,31,Mujer,España,0,Salario y Alquiler,33398,4535,Fijo,107,0,0,Sí
Rosa Domínguez,Centro,Cádiz,31,Mujer,España,4,Salario,22191,2165,Temporal,9,0,0,Sí
Alicia Torres,Norte,Granada,39,Mujer,España,0,Salario y Alquiler,26923,0,Fijo,96,1,1,Sí
Hans Müller,Centro,Baleares,50,Hombre,Alemania,0,Salario y Alquiler,26846,0,Fijo,45,0,0,Sí
Marta Romero,Costa,Granada,55,Mujer,España,1,Salario y Alquiler,34682,1351,Fijo,158,0,0,Sí
Ricardo Torres,Oeste,Granada,45,Hombre,España,0,Salario y Alquiler,34645,1828,Fijo,222,0,0,Sí
Alicia Jiménez,Norte,Granada,31,Mujer,España,0,Salario y Alquiler,32407,4254,Fijo,128,1,0,Sí
Pablo Morales,Oeste,Granada,31,Hombre,España,0,Salario y Alquiler,27189,0,Fijo,99,0,0,Sí
Antonio Gutiérrez,Norte,Granada,44,Hombre,España,0,Salario,31745,0,Fijo,53,2,2,No
José Blanco,Norte,Granada,27,Hombre,España,0,Salario,36291,4175,Temporal,81,1,1,Sí
Lukas Weber,Centro,Melilla,52,Mujer,Suiza,1,Salario,33064,0,Fijo,98,0,0,Sí
Rubén Morales,Costa,Granada,46,Hombre,España,0,Salario,24138,14360,Fijo,179,0,0,Sí
Marta Hernández,Costa,Granada,30,Mujer,España,0,Salario,19255,0,Temporal,91,1,0,Sí
Santiago Rodríguez,Costa,Granada,72,Hombre,España,0,Pensión y Alquiler,11376,0,Inactivo,0,0,0,Sí
Héctor Molina,Este,Granada,60,Hombre,España,3,Salario y Alquiler,19305,10623,Fijo,146,0,0,Sí
Patricia Rubio,Costa,Granada,69,Mujer,España,1,Pensión y Alquiler,12507,0,Inactivo,0,0,0,Sí
Inés Ramírez,Oeste,Granada,64,Mujer,España,1,Salario y Alquiler,26555,0,Fijo,176,3,0,Sí
Javier Reyes,Oeste,Granada,32,Hombre,España,2,Salario y Alquiler,25981,0,Temporal,5,1,0,Sí
Noah Maes,Centro,Castellón,65,Hombre,Bélgica,0,Pensión y Alquiler,11266,0,Inactivo,0,1,0,Sí
Ángel Ramos,Norte,Granada,38,Hombre,España,0,Salario,22731,6777,Temporal,57,1,0,Sí
Héctor Silva,Este,Granada,56,Hombre,España,0,Salario,32916,0,Fijo,292,0,0,Sí
Cristina Gómez,Costa,Granada,70,Mujer,España,0,Pensión,14063,0,Inactivo,0,0,1,Sí
Irene Moreno,Oeste,Granada,43,Mujer,España,2,Salario,18628,3085,Fijo,100,0,0,Sí
Carmen Ruiz,Norte,Granada,73,Mujer,España,0,Pensión y Alquiler,14722,4992,Inactivo,0,2,0,Sí
Miguel Ortega,Costa,Granada,34,Hombre,España,0,Salario y Alquiler,28300,3954,Temporal,168,0,0,Sí
Tiago Fernandes,Centro,Asturias,24,Hombre,Portugal,0,Salario y Alquiler,21169,4151,Fijo,52,0,0,Sí
Javier Medina,Este,Granada,21,Hombre,España,0,Salario,29392,0,Fijo,3,1,1,Sí
Diego Gutiérrez,Norte,Granada,59,Hombre,España,0,Salario,19721,0,Fijo,97,1,0,Sí
Carmen Marín,Este,Granada,27,Mujer,España,1,Salario y Alquiler,19476,0,Temporal,88,1,1,Sí
Emma Peeters,Centro,Madrid,44,Hombre,Bélgica,1,Salario y Alquiler,23187,0,Fijo,125,1,1,Sí
Ángel Alonso,Centro,Granada,59,Hombre,España,1,Salario,21606,4319,Fijo,191,0,0,Sí
Sanne Visser,Centro,Zamora,70,Hombre,Países Bajos,1,Pensión y Alquiler,14260,3638,Inactivo,0,3,0,Sí
Daan Bakker,Centro,Madrid,35,Hombre,Países Bajos,2,Salario y Alquiler,29279,0,Fijo,149,0,0,Sí
Raúl Gutiérrez,Centro,Sevilla,50,Hombre,España,0,Salario y Alquiler,29383,0,Fijo,51,1,1,Sí
João Silva,Centro,Las Palmas,51,Mujer,Portugal,3,Salario y Alquiler,19627,0,Fijo,213,2,0,Sí
Teresa Torres,Centro,Granada,80,Mujer,España,1,Pensión,11637,0,Inactivo,0,3,1,Sí
José Martínez,Centro,Málaga,59,Hombre,España,0,Salario y Alquiler,23440,0,Fijo,298,1,0,Sí
Julia Cruz,Este,Granada,44,Mujer,España,0,Salario,22777,3166,Fijo,272,0,0,Sí
Eduardo Navarro,Oeste,Granada,80,Hombre,España,0,Pensión,12343,0,Inactivo,0,0,1,Sí
Luis Sánchez,Centro,Granada,25,Hombre,España,1,Salario,30423,3540,Fijo,61,1,0,Sí
Paula Molina,Costa,Granada,38,Mujer,España,0,Salario,31257,3901,Temporal,161,1,0,Sí
Jean Dupont,Centro,Huelva,74,Hombre,Francia,1,Pensión y Alquiler,17052,10861,Inactivo,0,2,1,Sí
David Molina,Oeste,Granada,41,Hombre,España,0,Salario,30518,0,Temporal,166,0,0,Sí
Emily Brown,Centro,Segovia,80,Hombre,Reino Unido,0,Pensión y Alquiler,17182,0,Inactivo,0,0,0,Sí
Andrea Gómez,Centro,Granada,20,Mujer,España,1,Salario,27703,0,Temporal,16,0,0,Sí
Laura Hernández,Costa,Granada,65,Mujer,España,1,Pensión,13038,0,Inactivo,0,2,0,Sí
Fernando Rubio,Este,Granada,60,Hombre,España,0,Salario,29205,0,Temporal,152,0,0,Sí
Inés Gutiérrez,Norte,Granada,25,Mujer,España,0,Salario,31624,0,Temporal,22,0,0,Sí
Roberto Ortiz,Costa,Granada,27,Hombre,España,1,Salario y Alquiler,22228,14779,Fijo,37,1,0,Sí
José Martínez,Costa,Granada,40,Hombre,España,1,Salario,28301,0,Fijo,227,1,1,Sí
Ana Domínguez,Costa,Granada,32,Mujer,España,0,Salario y Alquiler,28037,6798,Temporal,121,1,1,Sí
Simon Baumann,Centro,Lugo,49,Hombre,Suiza,1,Salario,33613,0,Fijo,240,1,1,Sí
Peter Wagner,Centro,Baleares,56,Hombre,Alemania,0,Salario y Alquiler,20756,0,Fijo,133,0,0,Sí
José Serrano,Oeste,Granada,50,Hombre,España,0,Salario y Alquiler,29635,0,Fijo,17,1,1,Sí
Iván Álvarez,Oeste,Granada,56,Hombre,España,0,Salario y Alquiler,29579,13744,Temporal,249,0,0,Sí
Pedro Oliveira,Centro,Cuenca,40,Hombre,Portugal,2,Salario,25650,1031,Temporal,49,1,0,Sí
Eva Moreno,Oeste,Granada,47,Mujer,España,0,Salario,29131,0,Fijo,100,1,1,Sí
Lucía Carrasco,Oeste,Granada,25,Mujer,España,1,Salario,22434,0,Fijo,50,0,0,Sí
Youssef Othmani,Centro,León,52,Mujer,Marruecos,0,Salario y Alquiler,21004,0,Fijo,19,3,0,Sí
Antoine Bernard,Centro,Burgos,44,Mujer,Francia,0,Salario y Alquiler,21221,983,Temporal,275,2,2,No
Cristina Ramírez,Costa,Granada,47,Mujer,España,2,Salario,29629,0,Fijo,30,1,1,Sí
Iván Ortiz,Centro,Granada,47,Hombre,España,0,Salario y Alquiler,27776,0,Temporal,147,0,0,Sí
Julia Ortiz,Oeste,Granada,76,Mujer,España,4,Pensión,12560,0,Inactivo,0,1,0,Sí
Tiago Fernandes,Centro,Ourense,43,Hombre,Portugal,0,Salario y Alquiler,24124,0,Fijo,105,0,0,Sí
Beatriz Ortiz,Centro,Granada,73,Mujer,España,0,Pensión y Alquiler,17671,1545,Inactivo,0,2,0,Sí
Roberto Serrano,Este,Granada,60,Hombre,España,2,Salario y Alquiler,21197,0,Fijo,247,0,0,Sí
Álvaro Castro,Costa,Granada,67,Hombre,España,0,Pensión y Alquiler,14393,0,Inactivo,0,1,1,Sí
Laura Domínguez,Centro,Granada,32,Mujer,España,0,Salario,29847,0,Temporal,21,1,1,Sí
Teresa Moreno,Este,Granada,80,Mujer,España,2,Pensión,13870,2305,Inactivo,0,0,0,Sí
Álvaro Morales,Centro,Granada,41,Hombre,España,2,Salario,31440,1674,Fijo,14,0,0,Sí
Raúl Gil,Centro,Granada,44,Hombre,España,0,Salario,24879,0,Fijo,275,0,0,Sí
Inés Cruz,Este,Granada,57,Mujer,España,2,Salario y Alquiler,28849,10711,Fijo,83,2,0,Sí
Sofía Morales,Costa,Granada,66,Mujer,España,0,Pensión,10678,0,Inactivo,0,0,0,Sí
Fernando Reyes,Costa,Granada,56,Hombre,España,1,Salario,22502,12231,Fijo,321,1,1,Sí
Ángel Hernández,Este,Granada,73,Hombre,España,1,Pensión,17745,6858,Inactivo,0,3,1,Sí
Emma Peeters,Centro,Málaga,22,Mujer,Bélgica,1,Salario y Alquiler,36590,10697,Fijo,44,0,0,Sí
Eduardo Iglesias,Costa,Granada,46,Hombre,España,1,Salario,35016,0,Fijo,330,2,1,Sí
Adrián Blanco,Norte,Granada,37,Hombre,España,2,Salario,27027,0,Fijo,138,0,0,Sí
Lukas Weber,Centro,Teruel,54,Hombre,Suiza,0,Salario,29416,0,Temporal,142,1,1,Sí
María Martín,Costa,Granada,45,Mujer,España,1,Salario,19989,0,Temporal,177,1,1,Sí
Irene Rodríguez,Este,Granada,25,Mujer,España,1,Salario y Alquiler,34796,0,Temporal,71,0,0,Sí
Santiago Silva,Norte,Granada,41,Hombre,España,2,Salario,38124,0,Fijo,188,1,0,Sí
Arthur Jacobs,Centro,Teruel,24,Hombre,Bélgica,0,Salario,28633,0,Fijo,34,0,0,Sí
Lucía Navarro,Oeste,Granada,58,Mujer,España,1,Salario y Alquiler,29780,3920,Fijo,425,0,0,Sí
Rosa Cruz,Costa,Granada,63,Mujer,España,1,Salario y Alquiler,22641,14955,Temporal,366,4,1,Sí
Maria Sousa,Centro,Cuenca,41,Hombre,Portugal,0,Salario,32033,1435,Fijo,223,1,0,Sí
Sanne Visser,Centro,Zamora,44,Mujer,Países Bajos,1,Salario,30484,0,Fijo,172,2,1,Sí
Laura Iglesias,Norte,Granada,37,Mujer,España,1,Salario y Alquiler,22671,0,Fijo,138,0,0,Sí
Luis Carrasco,Costa,Granada,78,Hombre,España,0,Pensión y Alquiler,17383,4197,Inactivo,0,2,1,Sí
Carmen Ramos,Norte,Granada,46,Mujer,España,2,Salario,28768,3414,Fijo,284,1,1,Sí
Alicia Molina,Oeste,Granada,49,Mujer,España,0,Salario,34076,13142,Fijo,167,2,0,Sí
Carla Gutiérrez,Norte,Granada,65,Mujer,España,0,Pensión,11810,1174,Inactivo,0,1,0,Sí
Ana Rodríguez,Centro,Granada,77,Mujer,España,0,Pensión y Alquiler,15261,974,Inactivo,0,0,2,No
Teresa Ruiz,Norte,Granada,75,Mujer,España,0,Pensión,10329,0,Inactivo,0,0,1,Sí
Carmen López,Norte,Granada,72,Mujer,España,0,Pensión,15985,0,Inactivo,0,0,1,Sí
María Martín,Norte,Granada,54,Mujer,España,0,Salario,35023,0,Fijo,419,0,0,Sí
Raquel López,Costa,Granada,36,Mujer,España,1,Salario y Alquiler,34563,1160,Temporal,204,0,0,Sí
Isabel Ruiz,Costa,Granada,32,Mujer,España,0,Salario,27366,1374,Fijo,109,0,0,Sí
Beatriz Pérez,Norte,Granada,33,Mujer,España,2,Salario y Alquiler,22323,1476,Fijo,180,2,1,Sí
Lina De Smet,Centro,Guipúzcoa,57,Hombre,Bélgica,2,Salario,25698,2873,Fijo,443,3,1,Sí
Inés López,Costa,Granada,32,Mujer,España,0,Salario,23719,0,Fijo,52,0,0,Sí
Marcos Romero,Centro,Granada,44,Hombre,España,1,Salario y Alquiler,33920,0,Fijo,304,0,0,Sí
Roberto Torres,Norte,Granada,36,Hombre,España,0,Salario y Alquiler,29594,0,Fijo,182,1,1,Sí
Patricia Rubio,Costa,Granada,64,Mujer,España,0,Salario,39695,14459,Fijo,488,2,0,Sí
Carla Castro,Norte,Granada,25,Mujer,España,1,Salario,31498,0,Temporal,82,0,0,Sí
Irene Jiménez,Centro,Granada,37,Mujer,España,1,Salario,37771,634,Fijo,149,1,1,Sí
Andrea Ramírez,Oeste,Granada,40,Mujer,España,2,Salario y Alquiler,35643,2002,Fijo,223,1,1,Sí
Inés Martín,Oeste,Granada,76,Mujer,España,0,Pensión y Alquiler,15432,0,Inactivo,0,2,1,Sí
Rosa Molina,Centro,Granada,28,Mujer,España,1,Salario y Alquiler,18918,0,Fijo,11,0,0,Sí
Alejandro Ruiz,Costa,Granada,78,Hombre,España,1,Pensión,17080,0,Inactivo,0,1,0,Sí
Fernando Silva,Centro,Badajoz,78,Hombre,España,0,Pensión,14451,0,Inactivo,0,0,0,Sí
Miguel Rubio,Este,Granada,61,Hombre,España,1,Salario y Alquiler,36412,0,Fijo,140,0,1,Sí
Teresa Sanz,Oeste,Granada,49,Mujer,España,0,Salario y Alquiler,25288,0,Fijo,34,0,0,Sí
Carla Reyes,Centro,Granada,72,Mujer,España,2,Pensión,13472,0,Inactivo,0,4,0,Sí
Álvaro Sanz,Centro,Granada,53,Hombre,España,0,Salario,21452,8026,Fijo,290,1,1,Sí
Héctor Domínguez,Este,Granada,34,Hombre,España,2,Salario,20583,1022,Temporal,110,1,0,Sí
Arthur Jacobs,Centro,Barcelona,79,Hombre,Bélgica,0,Pensión y Alquiler,16074,0,Inactivo,0,3,0,Sí
John Smith,Centro,Melilla,61,Hombre,Reino Unido,0,Salario y Alquiler,21210,0,Fijo,506,1,0,Sí
Manuel Molina,Centro,Granada,31,Hombre,España,3,Salario,25509,0,Fijo,6,0,0,Sí
Raquel Ramos,Este,Granada,79,Mujer,España,2,Pensión,14564,0,Inactivo,0,1,0,Sí
Claudia Ramos,Norte,Granada,23,Mujer,España,0,Salario,32912,0,Fijo,57,0,0,Sí
Álvaro Ramírez,Costa,Granada,42,Hombre,España,2,Salario,37275,12556,Temporal,249,3,2,No
Beatriz Díaz,Este,Granada,39,Mujer,España,2,Salario y Alquiler,23258,0,Fijo,230,1,1,Sí
Raquel Ruiz,Este,Granada,30,Mujer,España,0,Salario y Alquiler,20806,1054,Temporal,84,1,1,Sí
Andrea Lombardi,Centro,Segovia,66,Hombre,Italia,0,Pensión y Alquiler,16081,0,Inactivo,0,0,0,Sí
Francisco Romero,Costa,Granada,64,Hombre,España,2,Salario y Alquiler,30228,4654,Fijo,148,1,1,Sí
Silvia García,Oeste,Granada,53,Mujer,España,2,Salario y Alquiler,32644,0,Fijo,214,0,0,Sí
Julia Rodríguez,Costa,Granada,60,Mujer,España,0,Salario y Alquiler,27209,0,Fijo,492,1,0,Sí
Isabel Pérez,Este,Granada,50,Mujer,España,0,Salario,31578,0,Fijo,366,1,1,Sí
Marco Rossi,Centro,Palencia,63,Hombre,Italia,0,Salario,28453,0,Fijo,282,0,1,Sí
Paula Vázquez,Oeste,Granada,76,Mujer,España,0,Pensión y Alquiler,11402,0,Inactivo,0,4,0,Sí
Eduardo Ortega,Este,Granada,60,Hombre,España,0,Salario y Alquiler,38210,0,Temporal,272,2,1,Sí
Álvaro López,Costa,Granada,21,Hombre,España,0,Salario,17447,0,Fijo,27,2,2,No
Marco Rossi,Centro,Cádiz,56,Hombre,Italia,0,Salario y Alquiler,26544,4317,Fijo,289,0,0,Sí
Diego Hernández,Este,Granada,58,Hombre,España,0,Salario y Alquiler,25829,0,Temporal,201,2,0,Sí
Carlos Moreno,Centro,Granada,56,Hombre,España,1,Salario,31718,1295,Temporal,156,1,1,Sí
Eva González,Oeste,Granada,35,Mujer,España,0,Salario y Alquiler,36921,0,Fijo,189,0,0,Sí
Julia Domínguez,Costa,Granada,27,Mujer,España,2,Salario,19176,589,Temporal,49,0,0,Sí
David Ramos,Oeste,Granada,80,Hombre,España,0,Pensión y Alquiler,15671,0,Inactivo,0,0,1,Sí
Elena Molina,Este,Granada,79,Mujer,España,0,Pensión,10475,0,Inactivo,0,1,0,Sí
Laura Molina,Centro,Granada,35,Mujer,España,1,Salario,29217,0,Temporal,8,0,0,Sí
Pablo Carrasco,Este,Granada,70,Hombre,España,2,Pensión,12920,13983,Inactivo,0,2,1,No
Miguel Ortega,Oeste,Granada,53,Hombre,España,0,Salario,22548,3387,Fijo,297,1,0,Sí
Eduardo Sánchez,Costa,Granada,62,Hombre,España,2,Salario y Alquiler,34383,0,Temporal,158,3,1,Sí
María Domínguez,Oeste,Granada,43,Mujer,España,1,Salario,25330,3392,Fijo,284,2,2,No
Lucía Silva,Centro,Granada,22,Mujer,España,0,Salario y Alquiler,21163,0,Fijo,42,2,0,Sí
Patricia Díaz,Centro,Granada,73,Mujer,España,1,Pensión,10931,1274,Inactivo,0,0,2,No
Antonio Morales,Este,Granada,36,Hombre,España,1,Salario,16919,4098,Fijo,144,0,0,Sí
Elena Blanco,Este,Granada,28,Mujer,España,1,Salario,28283,1614,Fijo,75,0,0,Sí
Mohamed Ben Ali,Centro,Cáceres,39,Hombre,Marruecos,2,Salario,36458,8606,Temporal,43,1,1,Sí
Laura Schmid,Centro,Soria,57,Mujer,Suiza,0,Salario,34035,0,Temporal,45,0,0,Sí
Peter Wagner,Centro,Ciudad,20,Hombre,Alemania,4,Salario,30825,0,Fijo,10,1,0,Sí
Fernando Hernández,Oeste,Granada,62,Hombre,España,0,Salario y Alquiler,31802,0,Fijo,192,0,2,No
Ana Blanco,Este,Granada,20,Mujer,España,2,Salario,19594,1240,Fijo,14,0,0,Sí
Andrea Hernández,Norte,Granada,61,Mujer,España,3,Salario,27216,0,Fijo,278,2,1,Sí
Teresa Martínez,Este,Granada,41,Mujer,España,0,Salario,38348,0,Temporal,127,0,0,Sí
Raúl Serrano,Costa,Granada,61,Hombre,España,0,Salario,39458,0,Temporal,323,0,0,Sí
José Romero,Centro,Granada,63,Hombre,España,0,Salario y Alquiler,37467,0,Fijo,181,0,2,No
Diego Medina,Este,Granada,44,Hombre,España,0,Salario y Alquiler,29946,8769,Temporal,161,1,0,Sí
Pablo Sánchez,Oeste,Granada,53,Hombre,España,0,Salario y Alquiler,32966,0,Fijo,288,0,0,Sí
Silvia Torres,Centro,Granada,49,Mujer,España,1,Salario y Alquiler,20714,1436,Temporal,219,0,0,Sí
Francisco Reyes,Costa,Granada,76,Hombre,España,0,Pensión y Alquiler,12294,0,Inactivo,0,0,1,Sí
Alicia Ramírez,Costa,Granada,37,Mujer,España,4,Salario y Alquiler,18006,11080,Fijo,67,1,1,Sí
Marta González,Este,Granada,66,Mujer,España,2,Pensión,11602,0,Inactivo,0,2,0,Sí
Pablo Gómez,Costa,Granada,75,Hombre,España,0,Pensión y Alquiler,11024,0,Inactivo,0,1,1,Sí
Alicia Díaz,Norte,Granada,31,Mujer,España,1,Salario,23114,1161,Fijo,18,0,0,Sí
Eduardo Álvarez,Costa,Granada,50,Hombre,España,1,Salario,19731,0,Temporal,141,1,1,Sí
José Reyes,Costa,Granada,44,Hombre,España,0,Salario,23084,0,Fijo,177,1,0,Sí
Alejandro Rodríguez,Este,Granada,28,Hombre,España,0,Salario y Alquiler,34164,0,Fijo,88,0,0,Sí
María Martín,Oeste,Granada,74,Mujer,España,1,Pensión,15842,4199,Inactivo,0,1,1,Sí
Susana Pérez,Centro,Granada,70,Mujer,España,0,Pensión,14496,0,Inactivo,0,2,1,Sí
Silvia García,Este,Granada,24,Mujer,España,1,Salario y Alquiler,20393,14379,Fijo,64,1,1,Sí
Francisco Medina,Norte,Granada,77,Hombre,España,1,Pensión,15990,0,Inactivo,0,0,0,Sí
María Sanz,Centro,Granada,37,Mujer,España,0,Salario y Alquiler,29902,0,Temporal,37,0,0,Sí
Laura Hernández,Centro,Cuenca,45,Mujer,España,0,Salario,19102,1136,Fijo,228,0,0,Sí
Julia Martín,Costa,Granada,56,Mujer,España,0,Salario y Alquiler,29982,3182,Temporal,79,1,0,Sí
Lina De Smet,Centro,La Coruña,37,Hombre,Bélgica,1,Salario,34779,0,Temporal,121,0,0,Sí
Ana Costa,Centro,Teruel,40,Mujer,Portugal,0,Salario,23431,0,Temporal,73,2,0,Sí
Carlos López,Oeste,Granada,63,Hombre,España,0,Salario y Alquiler,30309,0,Fijo,267,2,1,Sí
Inés Ruiz,Este,Granada,44,Mujer,España,0,Salario y Alquiler,24459,0,Fijo,214,3,2,No
David Marín,Este,Granada,76,Hombre,España,0,Pensión y Alquiler,17883,644,Inactivo,0,2,1,Sí
Ana Fernández,Norte,Granada,75,Mujer,España,1,Pensión,15658,0,Inactivo,0,3,0,Sí
Raúl Jiménez,Costa,Granada,63,Hombre,España,0,Salario,24197,0,Temporal,264,0,1,Sí
Alicia Blanco,Norte,Granada,21,Mujer,España,1,Salario y Alquiler,25503,5248,Fijo,6,0,0,Sí
Raúl Reyes,Centro,Granada,51,Hombre,España,1,Salario y Alquiler,20436,0,Temporal,280,0,0,Sí
María Sánchez,Norte,Granada,60,Mujer,España,0,Salario y Alquiler,39501,3696,Fijo,408,0,0,Sí
Carlos Ramírez,Centro,Granada,29,Hombre,España,0,Salario y Alquiler,36999,4050,Fijo,58,0,0,Sí
Fernando Alonso,Centro,Granada,64,Hombre,España,0,Salario y Alquiler,21257,4690,Fijo,283,3,1,Sí
Julia Gutiérrez,Costa,Granada,30,Mujer,España,2,Salario,21760,1015,Fijo,116,0,0,Sí
Sara Amrani,Centro,Sevilla,55,Mujer,Marruecos,0,Salario,26559,0,Fijo,85,1,0,Sí
Cristina Alonso,Este,Granada,62,Mujer,España,1,Salario,19754,0,Temporal,499,3,0,Sí
Mario Muñoz,Oeste,Granada,67,Hombre,España,1,Pensión y Alquiler,17801,13478,Inactivo,0,1,1,Sí
Beatriz Álvarez,Costa,Granada,54,Mujer,España,0,Salario y Alquiler,32585,0,Fijo,382,2,0,Sí
Antonio Serrano,Norte,Granada,45,Hombre,España,0,Salario y Alquiler,36185,0,Fijo,322,1,0,Sí
Javier Vázquez,Oeste,Granada,35,Hombre,España,2,Salario y Alquiler,21179,12390,Fijo,31,2,1,Sí
María González,Este,Granada,46,Mujer,España,0,Salario y Alquiler,24961,0,Fijo,211,1,0,Sí
Manuel Morales,Oeste,Granada,70,Hombre,España,2,Pensión y Alquiler,17853,0,Inactivo,0,0,0,Sí
Beatriz Romero,Norte,Granada,41,Mujer,España,0,Salario y Alquiler,21007,13212,Fijo,68,0,0,Sí
Raúl Ramírez,Costa,Granada,46,Hombre,España,0,Salario y Alquiler,32901,0,Fijo,204,0,0,Sí
Fatima El Idrissi,Centro,Pontevedra,53,Hombre,Marruecos,0,Salario,29432,631,Fijo,265,1,0,Sí
Paula Fernández,Costa,Granada,54,Mujer,España,2,Salario y Alquiler,26138,4858,Fijo,386,1,1,Sí
Luis Domínguez,Centro,Granada,24,Hombre,España,0,Salario,31791,12929,Fijo,12,2,1,Sí
Silvia García,Este,Granada,34,Mujer,España,2,Salario,32293,1708,Fijo,97,2,1,Sí
Alicia Morales,Centro,Granada,44,Mujer,España,1,Salario y Alquiler,29057,3524,Fijo,286,3,3,No
Rosa Torres,Costa,Granada,29,Mujer,España,1,Salario y Alquiler,34373,0,Fijo,11,0,0,Sí
Cristina Ortiz,Centro,Granada,27,Mujer,España,1,Salario y Alquiler,20470,0,Temporal,12,0,0,Sí
Inés Gómez,Costa,Granada,28,Mujer,España,1,Salario y Alquiler,27442,0,Fijo,119,1,1,Sí
Sofía Torres,Norte,Granada,49,Mujer,España,0,Salario,32479,0,Fijo,39,0,0,Sí
Laura Sanz,Norte,Granada,71,Mujer,España,0,Pensión,14606,0,Inactivo,0,0,0,Sí
Ana Costa,Centro,Teruel,45,Mujer,Portugal,2,Salario,32386,0,Fijo,196,1,1,Sí
Silvia Delgado,Este,Granada,63,Mujer,España,0,Salario,19802,0,Temporal,24,0,0,Sí
Roberto Ortiz,Norte,Granada,39,Hombre,España,0,Salario y Alquiler,26817,0,Fijo,188,0,0,Sí
David Blanco,Oeste,Granada,74,Hombre,España,1,Pensión,14336,0,Inactivo,0,1,0,Sí
Rubén Ramírez,Este,Granada,29,Hombre,España,0,Salario y Alquiler,36647,0,Fijo,100,0,0,Sí
Javier Alonso,Norte,Granada,48,Hombre,España,2,Salario,34687,0,Temporal,183,1,1,Sí
Lucas Janssens,Centro,Sevilla,62,Mujer,Bélgica,1,Salario y Alquiler,21353,0,Fijo,239,0,2,No
Santiago Rodríguez,Oeste,Granada,27,Hombre,España,0,Salario y Alquiler,27560,0,Fijo,34,1,1,Sí
Ana Martín,Norte,Granada,79,Mujer,España,0,Pensión,17580,0,Inactivo,0,4,0,Sí
Anna Schmidt,Centro,Teruel,61,Hombre,Alemania,1,Salario,30060,0,Fijo,13,3,0,Sí
Isabel Ramírez,Este,Granada,78,Mujer,España,1,Pensión y Alquiler,16523,0,Inactivo,0,1,0,Sí
Juan Ramírez,Oeste,Granada,54,Hombre,España,0,Salario,28412,0,Temporal,112,3,1,Sí
Ana Pérez,Este,Granada,53,Mujer,España,1,Salario,29064,0,Fijo,215,0,0,Sí
Juan Martínez,Oeste,Granada,34,Hombre,España,1,Salario,22228,12043,Fijo,148,0,0,Sí
Marcos Morales,Centro,Granada,73,Hombre,España,0,Pensión,17623,0,Inactivo,0,2,1,Sí
Santiago Ruiz,Este,Granada,67,Hombre,España,1,Pensión,10658,0,Inactivo,0,0,0,Sí
David Hernández,Costa,Granada,68,Hombre,España,0,Pensión,16130,0,Inactivo,0,0,0,Sí
Julia Medina,Este,Granada,54,Mujer,España,0,Salario,33776,2241,Temporal,167,1,1,Sí
Diego Sánchez,Centro,Granada,52,Hombre,España,0,Salario y Alquiler,26788,2687,Temporal,252,0,0,Sí
Laura Cruz,Costa,Granada,48,Mujer,España,0,Salario,25084,0,Fijo,318,2,1,Sí
Claudia Alonso,Norte,Granada,77,Mujer,España,4,Pensión y Alquiler,17724,1240,Inactivo,0,0,1,Sí
Marcos Martínez,Costa,Granada,51,Hombre,España,3,Salario,25120,0,Temporal,343,2,1,Sí
Mario Jiménez,Norte,Granada,42,Hombre,España,0,Salario,33507,1532,Fijo,245,2,0,Sí
Marcos Blanco,Costa,Granada,20,Hombre,España,0,Salario,23642,1580,Fijo,6,1,1,Sí
Eva Ortiz,Este,Granada,57,Mujer,España,1,Salario,35368,1868,Fijo,126,1,1,Sí
Sofía Medina,Costa,Granada,78,Mujer,España,0,Pensión,16302,0,Inactivo,0,0,1,Sí
Adrián González,Centro,Granada,42,Hombre,España,1,Salario,36811,4909,Fijo,281,0,0,Sí
Raquel Blanco,Centro,Granada,33,Mujer,España,1,Salario y Alquiler,32509,0,Fijo,44,0,0,Sí
Francisco Gil,Centro,Granada,32,Hombre,España,2,Salario y Alquiler,33430,0,Fijo,100,0,0,Sí
Pablo Serrano,Costa,Granada,45,Hombre,España,1,Salario,20589,0,Fijo,165,0,0,Sí
Eva Hernández,Oeste,Granada,40,Mujer,España,0,Salario y Alquiler,24413,0,Fijo,94,0,0,Sí
Tom de Vries,Centro,Cádiz,72,Hombre,Países Bajos,2,Pensión,13327,0,Inactivo,0,1,1,Sí
